area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;eqt19a011;eqt19a021;eqt19a012;eqt19a022;eqt19a013;eqt19a023;eqt19a014;eqt19a024;eqt19a015;eqt19a025;eqt19a016;eqt19a026;vi20;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;180150;006601;071;01;1;1;1;2;1;4;1;1;1;7;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;2;1;2;1;2;1;2913;21,4157413447643;180150006601;18015000660107101;180150006601071011;202507
1;180150;006601;071;03;1;1;2;1;1;2;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;1;1;1;3;1;3;1;1;1;2913;21,4157413447643;180150006601;18015000660107103;180150006601071031;202507
1;180150;006601;071;04;1;1;4;2;1;4;2;1;1;2;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;2;1;2;1;1;1;2913;21,4157413447643;180150006601;18015000660107104;180150006601071041;202507
1;180150;006601;071;06;1;1;1;1;1;4;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;1;1;2; ;2; ;1;40;2; ;2; ;2; ;2; ;1;2;2; ;1;1;1;4;1;4;1;1;1;2913;21,4157413447643;180150006601;18015000660107106;180150006601071061;202507
1;180150;006601;071;07;1;1;2;1;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;2;1;1;2; ;2; ;1;120;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;2;1;2;1;1;1;2913;21,4157413447643;180150006601;18015000660107107;180150006601071071;202507
1;180150;006601;071;08;1;1;2;1;1;2;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;2;1;1;2; ;2; ;1;80;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;4;1;4;1;2;1;2913;21,4157413447643;180150006601;18015000660107108;180150006601071081;202507
1;180150;006601;071;09;1;1;1;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;1;40;2; ;2; ;2; ;2; ;1;1;2; ;1;1;1;2;1;2;2; ;1;2913;21,4157413447643;180150006601;18015000660107109;180150006601071091;202507
1;180150;006603;065;01;1;1;1;1;2;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;1;1;2; ;2; ;1;50;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;2;1;2;2; ;2;2913;34,4531003303409;180150006603;18015000660306501;180150006603065011;202507
1;180150;006603;065;02;1;1;1;1;1;2;1;1;1;5;3;1;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2; ;1;4;1;4;2; ;1;2913;34,4531003303409;180150006603;18015000660306502;180150006603065021;202507
1;180150;006603;065;03;1;1;1;1;1;4;1;1;1;4;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;80;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;2; ;1;2913;34,4531003303409;180150006603;18015000660306503;180150006603065031;202507
1;180150;006603;065;04;1;1;2;1;1;4;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;3;100; ; ; ;2; ;1;1;2; ;1;40;2; ;2; ;2; ;2; ;1;1;2; ;1;1;1;3;1;3;2; ;1;2913;34,4531003303409;180150006603;18015000660306504;180150006603065041;202507
